,AASIST,AASIST-L,AASIST3,LFCC+LCNN,XLS-R+Nes2Net,XLS-R+AASIST
AASIST,1.0,0.920748693073752,0.4024004828871125,0.39851192569996285,0.5614721700841085,0.6071015898881617
AASIST-L,0.920748693073752,1.0,0.43987869658624623,0.409535371646946,0.5440445197689695,0.6234503564850744
AASIST3,0.4024004828871125,0.43987869658624623,1.0,0.5004965178395839,0.35928062265514776,0.32062015086325824
LFCC+LCNN,0.39851192569996285,0.409535371646946,0.5004965178395839,1.0,0.19924232797104857,0.2951297271926949
XLS-R+Nes2Net,0.5614721700841085,0.5440445197689695,0.35928062265514776,0.19924232797104857,1.0,0.6909995887669689
XLS-R+AASIST,0.6071015898881617,0.6234503564850744,0.32062015086325824,0.2951297271926949,0.6909995887669689,1.0
