model,threshold,far,frr,fp,fn,tp,tn,accuracy,n,eer,ece
AASIST,0.9998645782470703,0.045944084405622865,0.045955132562882396,2935,338,7017,60947,0.9540547749062986,71237,4.594960848425264,0.25747965119843313
AASIST-L,0.9992135763168335,0.0674524905294136,0.06743711760707002,4309,496,6859,59573,0.9325490966772885,71237,6.744480406824183,0.2127481593423409
AASIST3,2.4541902803321136e-06,0.20829028521336213,0.20829367777022434,13306,1532,5823,50576,0.7917093645156309,71237,20.829198149179323,0.0911842815814262
LFCC+LCNN,0.9915511608123779,0.19637769637769636,0.1964649898028552,12545,1445,5910,51337,0.8036132908460492,71237,19.64213430902758,0.3377839865033505
XLS-R+Nes2Net,0.9997732043266296,0.004492658338812185,0.004486743711760707,287,33,7322,63595,0.995507952328144,71237,0.44897010252864533,0.07584467631992786
XLS-R+AASIST,0.9999402761459351,0.01174039635578097,0.01169272603670972,750,86,7269,63132,0.9882645254572764,71237,1.1716561196245323,0.04315989529994261
