model,AASIST,AASIST-L,AASIST3,LFCC+LCNN,XLS-R+Nes2Net,XLS-R+AASIST
AASIST,1.0,0.402187120291616,0.066105486225571,0.0342699658498592,0.03276803679218166,0.11324844215659713
AASIST-L,0.402187120291616,1.0,0.09200578163219925,0.05911191254367181,0.025,0.09576534576534576
AASIST3,0.066105486225571,0.09200578163219925,1.0,0.2054359188793644,0.00938935872677632,0.022639785998564626
LFCC+LCNN,0.0342699658498592,0.05911191254367181,0.2054359188793644,1.0,0.003787878787878788,0.00809138505473584
XLS-R+Nes2Net,0.03276803679218166,0.025,0.00938935872677632,0.003787878787878788,1.0,0.15139442231075698
XLS-R+AASIST,0.11324844215659713,0.09576534576534576,0.022639785998564626,0.00809138505473584,0.15139442231075698,1.0
