,AASIST,LFCC+LCNN,AASIST3,AASIST-L,XLS-R+Nes2Net
AASIST,1.0,0.12876962816646978,0.20359432114674939,0.9160011203179173,0.35693237470236294
LFCC+LCNN,0.12876962816646978,1.0,0.47209859058733084,0.12529044932373315,0.08007140749831683
AASIST3,0.20359432114674939,0.47209859058733084,1.0,0.2096429414636621,0.1614131061133698
AASIST-L,0.9160011203179173,0.12529044932373315,0.2096429414636621,1.0,0.3513501189750674
XLS-R+Nes2Net,0.35693237470236294,0.08007140749831683,0.1614131061133698,0.3513501189750674,1.0
