model,threshold,far,frr,fp,fn,tp,tn,accuracy,n,eer,ece
AASIST,0.9876598715782166,0.1770051890624611,0.17700418212876246,78217,3005,13972,363674,0.8229948481916368,458868,17.700468559561177,0.29068557939682615
LFCC+LCNN,0.344375878572464,0.33809468850915725,0.33810449431583905,149401,5740,11237,292490,0.661904948699844,458868,33.80995914124982,0.31910103142096724
AASIST3,2.994903880448874e-08,0.29176878460977934,0.29174765859692525,128930,4953,12024,312961,0.7082319970013163,458868,29.17582216033523,0.03551620922130146
AASIST-L,0.9144641160964966,0.19131188460502704,0.19131766507627967,84539,3248,13729,357352,0.8086879015315951,458868,19.131477484065336,0.2444824997786905
XLS-R+Nes2Net,0.288948655128479,0.029280976530411347,0.02927490133710314,12939,497,16480,428952,0.9707192482369658,458868,2.9277938933757217,0.023787674607589675
