model,AASIST,LFCC+LCNN,AASIST3,AASIST-L,XLS-R+Nes2Net
AASIST,1.0,0.14725954257756377,0.14515012776831346,0.630526854022556,0.09251863992059278
LFCC+LCNN,0.14725954257756377,1.0,0.3988190881812022,0.16132363205247105,0.037677894322154924
AASIST3,0.14515012776831346,0.3988190881812022,1.0,0.1592285406490885,0.05205313147182747
AASIST-L,0.630526854022556,0.16132363205247105,0.1592285406490885,1.0,0.09008378384199531
XLS-R+Nes2Net,0.09251863992059278,0.037677894322154924,0.05205313147182747,0.09008378384199531,1.0
