model,mean_eer,std_eer,datasets_evaluated
XLS-R+Nes2Net,7.6331821860956275,9.53188571740775,4
XLS-R+AASIST,10.558651458171616,9.217732753019837,3
AASIST,24.958606111115067,17.000739575366868,4
AASIST-L,27.112402538806972,17.438131942051402,4
AASIST3,32.21757249476469,9.018475705231383,4
LFCC+LCNN,41.49959552097663,21.315678116496372,4
