model,asvspoof19,asvspoof21,asvspoof5,in_the_wild
AASIST,0.0,13.105507711135914,31.154984856399086,37.194088483224206
AASIST-L,0.0,12.386997077241153,30.549267227923714,38.535424222766295
AASIST3,0.0,8.346624011155907,17.918912155363596,19.287961215821962
LFCC+LCNN,0.0,14.16782483222224,22.672503741571315,50.58951627400262
XLS-R+AASIST,0.0,,18.425586331521068,9.735399684120182
XLS-R+Nes2Net,0.0,2.4788237908470765,21.133250373751416,5.124774169669438
