model,AASIST,AASIST-L,AASIST3,LFCC+LCNN,XLS-R+Nes2Net,XLS-R+AASIST
AASIST,1.0,0.6778242677824268,0.26667964377828607,0.33578477355446323,0.07155061939342161,0.16631842875052236
AASIST-L,0.6778242677824268,1.0,0.290810502283105,0.35312764937889346,0.0644885053685528,0.14631484334874165
AASIST3,0.26667964377828607,0.290810502283105,1.0,0.39173743947932377,0.05869485964272694,0.09398191876939685
LFCC+LCNN,0.33578477355446323,0.35312764937889346,0.39173743947932377,1.0,0.04930528333115554,0.10669527896995708
XLS-R+Nes2Net,0.07155061939342161,0.0644885053685528,0.05869485964272694,0.04930528333115554,1.0,0.2776286899243718
XLS-R+AASIST,0.16631842875052236,0.14631484334874165,0.09398191876939685,0.10669527896995708,0.2776286899243718,1.0
