model,threshold,far,frr,fp,fn,tp,tn,accuracy,n,eer,ece
AASIST,0.5675593018531799,0.41790792146242384,0.41787306517056555,4938,8342,11621,6878,0.5821139746373392,31779,41.78904933164947,0.3113777934988481
AASIST-L,0.10674717277288437,0.45286052809749494,0.45273756449431446,5351,9038,10925,6465,0.5472167154410145,31779,45.279904629590476,0.37121871733119083
AASIST3,6.429717647193911e-09,0.4011509817197021,0.4011922055803236,4740,8009,11954,7076,0.5988231221876081,31779,40.117159365001285,0.6270088962580539
LFCC+LCNN,9.295561540056951e-06,0.702183480027082,0.702449531633522,8297,14023,5940,3519,0.297649391107335,31779,70.2316505830302,0.6974417383463208
XLS-R+Nes2Net,0.019889067858457565,0.05577183480027082,0.05570305064369083,659,1112,18851,11157,0.9442713741779163,31779,5.573744272198083,0.1448988435938989
XLS-R+AASIST,0.0003993463469669223,0.10908937034529452,0.10905174572959976,1289,2177,17786,10527,0.8909342647660404,31779,10.907055803744715,0.2926421110359209
