,AASIST,AASIST-L,AASIST3,LFCC+LCNN,XLS-R+Nes2Net,XLS-R+AASIST
AASIST,1.0,0.8540189647201217,0.0688408816210307,-0.15318787734624134,0.22428054580178242,0.33882686606598333
AASIST-L,0.8540189647201217,1.0,0.08833681171896712,-0.143417534100693,0.16912607650614403,0.2624053757354652
AASIST3,0.0688408816210307,0.08833681171896712,1.0,0.032759633856226225,0.31557036577518227,0.16922298518204806
LFCC+LCNN,-0.15318787734624134,-0.143417534100693,0.032759633856226225,1.0,-0.40427371116510485,-0.34264284152929325
XLS-R+Nes2Net,0.22428054580178242,0.16912607650614403,0.31557036577518227,-0.40427371116510485,1.0,0.836771431980917
XLS-R+AASIST,0.33882686606598333,0.2624053757354652,0.16922298518204806,-0.34264284152929325,0.836771431980917,1.0
