,AASIST,AASIST-L,AASIST3,LFCC+LCNN,XLS-R+Nes2Net,XLS-R+AASIST
AASIST,1.0,0.8354287865117619,-0.021389355732506877,-0.08167268319006206,0.15995898982377607,0.30862619010388725
AASIST-L,0.8354287865117619,1.0,0.054377838914855425,-0.03616917737088034,0.10476006965309011,0.25786177887610123
AASIST3,-0.021389355732506877,0.054377838914855425,1.0,0.4535864445207149,0.14321012195399488,0.18558700651920215
LFCC+LCNN,-0.08167268319006206,-0.03616917737088034,0.4535864445207149,1.0,0.154984396686278,0.12572923637814096
XLS-R+Nes2Net,0.15995898982377607,0.10476006965309011,0.14321012195399488,0.154984396686278,1.0,0.4908914010932502
XLS-R+AASIST,0.30862619010388725,0.25786177887610123,0.18558700651920215,0.12572923637814096,0.4908914010932502,1.0
