field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
attack,A30,LFCC+LCNN,spoof_group_vs_all_bonafide,172794,34106,138688,34106,63.03251355487958,0.8905177974549933,0.4231440355329949,30372,58685
attack,A18,LFCC+LCNN,spoof_group_vs_all_bonafide,173056,34368,138688,34368,57.01803356531312,0.7555574953445066,0.4231440355329949,25967,58685
attack,A18,AASIST3,spoof_group_vs_all_bonafide,173056,34368,138688,34368,56.85218765226493,0.7523859404096834,0.3874812528841717,25858,53739
attack,A21,AASIST-L,spoof_group_vs_all_bonafide,173048,34360,138688,34360,55.71980681892049,0.7818684516880093,0.37293781725888325,26865,51722
attack,A27,LFCC+LCNN,spoof_group_vs_all_bonafide,172872,34184,138688,34184,53.90016365868644,0.7093377018488182,0.4231440355329949,24248,58685
attack,A30,AASIST3,spoof_group_vs_all_bonafide,172794,34106,138688,34106,53.64178788074753,0.7135987802732657,0.3874812528841717,24338,53739
attack,A21,AASIST,spoof_group_vs_all_bonafide,173048,34360,138688,34360,51.65683650419861,0.709953434225844,0.3575002884171666,24394,49581
attack,A17,AASIST,spoof_group_vs_all_bonafide,173102,34414,138688,34414,50.52759712124166,0.6565932469343871,0.3575002884171666,22596,49581
attack,A26,AASIST-L,spoof_group_vs_all_bonafide,173074,34386,138688,34386,49.42730416714275,0.6331064968301052,0.37293781725888325,21770,51722
attack,A17,AASIST-L,spoof_group_vs_all_bonafide,173102,34414,138688,34414,48.471110124697326,0.6050735165920846,0.37293781725888325,20823,51722
attack,A26,AASIST,spoof_group_vs_all_bonafide,173074,34386,138688,34386,48.41148294474702,0.6493921944977608,0.3575002884171666,22330,49581
attack,A26,LFCC+LCNN,spoof_group_vs_all_bonafide,173074,34386,138688,34386,48.241330194734545,0.5435933228639562,0.4231440355329949,18692,58685
attack,A22,AASIST,spoof_group_vs_all_bonafide,173068,34380,138688,34380,47.95733977897883,0.5989819662594532,0.3575002884171666,20593,49581
attack,A19,LFCC+LCNN,spoof_group_vs_all_bonafide,169548,30860,138688,30860,47.31965898885091,0.515100453661698,0.4231440355329949,15896,58685
attack,A29,AASIST-L,spoof_group_vs_all_bonafide,173096,34408,138688,34408,47.22423372501024,0.6159904673331783,0.37293781725888325,21195,51722
attack,A32,LFCC+LCNN,spoof_group_vs_all_bonafide,172378,33690,138688,33690,47.17166855999824,0.5549718017215791,0.4231440355329949,18697,58685
attack,A31,LFCC+LCNN,spoof_group_vs_all_bonafide,172644,33956,138688,33956,46.636939981451064,0.536959594769702,0.4231440355329949,18233,58685
attack,A28,AASIST-L,spoof_group_vs_all_bonafide,173102,34414,138688,34414,46.303881923423326,0.5588423316092288,0.37293781725888325,19232,51722
attack,A28,AASIST,spoof_group_vs_all_bonafide,173102,34414,138688,34414,46.214137453222015,0.5909804149474052,0.3575002884171666,20338,49581
attack,A32,AASIST3,spoof_group_vs_all_bonafide,172378,33690,138688,33690,46.060683622479885,0.5607598693974473,0.3874812528841717,18892,53739
attack,A29,AASIST,spoof_group_vs_all_bonafide,173096,34408,138688,34408,45.75166216067094,0.6036677516856545,0.3575002884171666,20771,49581
