field,group,model,mode,n,n_group,n_bonafide,n_spoof,eer,far,frr,fp,fn
condition,spoof,LFCC+LCNN,spoof_group_vs_all_bonafide,680774,542086,138688,542086,42.314638050598894,0.423148725478983,0.4231440355329949,229383,58685
condition,spoof,AASIST3,spoof_group_vs_all_bonafide,680774,542086,138688,542086,38.74811030454292,0.38748095320668674,0.3874812528841717,210048,53739
condition,spoof,AASIST-L,spoof_group_vs_all_bonafide,680774,542086,138688,542086,37.293747634747895,0.3729371354360747,0.37293781725888325,202164,51722
condition,spoof,AASIST,spoof_group_vs_all_bonafide,680774,542086,138688,542086,35.74994570482435,0.3574986256793203,0.3575002884171666,193795,49581
condition,spoof,XLS-R+Nes2Net,spoof_group_vs_all_bonafide,680774,542086,138688,542086,21.58222047628006,0.21582184376648725,0.215822565759114,116994,29932
condition,spoof,XLS-R+AASIST,spoof_group_vs_all_bonafide,680774,542086,138688,542086,19.5972424511456,0.19597259475433787,0.19597225426857406,106234,27179
