model,threshold,far,frr,fp,fn,tp,tn,accuracy,n,eer,ece
AASIST,0.0006739532109349966,0.3574986256793203,0.3575002884171666,193795,49581,89107,348291,0.6425010355859654,680774,35.74994570482435,0.174968635304223
AASIST-L,0.00027713592862710357,0.3729371354360747,0.37293781725888325,202164,51722,86966,339922,0.6270627256622608,680774,37.293747634747895,0.1762124968996261
AASIST3,1.4106862522567098e-07,0.38748095320668674,0.3874812528841717,210048,53739,84949,332038,0.6125189857426988,680774,38.74811030454292,0.1907236520489078
LFCC+LCNN,8.487916784361005e-05,0.423148725478983,0.4231440355329949,229383,58685,80003,312703,0.5768522299617788,680774,42.314638050598894,0.278455169781466
XLS-R+Nes2Net,0.0019185891142114997,0.21582184376648725,0.215822565759114,116994,29932,108756,425092,0.7841780091484105,680774,21.58222047628006,0.09160991636702082
XLS-R+AASIST,0.0002538152039051056,0.19597259475433787,0.19597225426857406,106234,27179,111509,435852,0.8040274746097824,680774,19.5972424511456,0.1639708878162717
