model,AASIST,AASIST-L,AASIST3,LFCC+LCNN,XLS-R+Nes2Net,XLS-R+AASIST
AASIST,1.0,0.6195085410933251,0.200749576202968,0.21707984564473096,0.1848121400882154,0.23503767827115898
AASIST-L,0.6195085410933251,1.0,0.2314816136414458,0.23425226887120099,0.16775144653501692,0.2095156303675713
AASIST3,0.200749576202968,0.2314816136414458,1.0,0.4083502405287805,0.18762903888082447,0.18373879069102092
LFCC+LCNN,0.21707984564473096,0.23425226887120099,0.4083502405287805,1.0,0.19964258431397425,0.17937030259277292
XLS-R+Nes2Net,0.1848121400882154,0.16775144653501692,0.18762903888082447,0.19964258431397425,1.0,0.3080698971140611
XLS-R+AASIST,0.23503767827115898,0.2095156303675713,0.18373879069102092,0.17937030259277292,0.3080698971140611,1.0
